"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_me_invalid_token_returns_401","tests","Tue May 19 16:30:07 UTC 2026","passed","Tue May 19 16:30:07 UTC 2026","","test_auth","",""
"","4","test_finalize_image_forbidden_for_non_owner","tests","Tue May 19 16:30:14 UTC 2026","passed","Tue May 19 16:30:14 UTC 2026","","test_wave1_security","",""
"","2","test_login_unknown_email_returns_401","tests","Tue May 19 16:30:07 UTC 2026","passed","Tue May 19 16:30:07 UTC 2026","","test_auth","",""
"","270","test_login_wrong_password_returns_401","tests","Tue May 19 16:30:06 UTC 2026","passed","Tue May 19 16:30:07 UTC 2026","","test_auth","",""
"","5","test_get_staged_html_returns_manifest_metadata","tests","Tue May 19 16:30:13 UTC 2026","passed","Tue May 19 16:30:13 UTC 2026","","test_staging_artifacts","",""
"A different app_user cannot read another owner's client.","808","test_get_client_cross_tenant_returns_404","tests","Tue May 19 16:30:07 UTC 2026","passed","Tue May 19 16:30:08 UTC 2026","","test_clients_ownership","",""
"A different app_user cannot read service permissions of another owner's client.","808","test_get_client_services_cross_tenant_returns_404","tests","Tue May 19 16:30:09 UTC 2026","passed","Tue May 19 16:30:10 UTC 2026","","test_clients_ownership","",""
"A different app_user cannot update another owner's client.","809","test_patch_client_cross_tenant_returns_404","tests","Tue May 19 16:30:08 UTC 2026","passed","Tue May 19 16:30:09 UTC 2026","","test_clients_ownership","",""
"","0","test_output_static_files_are_served","tests","Tue May 19 16:30:13 UTC 2026","broken","Tue May 19 16:30:13 UTC 2026","","test_staging_artifacts","",""
"With a mocked verify_webhook, subscription.updated should update the user plan.","2","test_webhook_subscription_updated_changes_plan","tests","Tue May 19 16:30:12 UTC 2026","passed","Tue May 19 16:30:12 UTC 2026","","test_payment_webhook","",""
"A different app_user cannot modify service permissions of another owner's client.","807","test_patch_client_services_cross_tenant_returns_404","tests","Tue May 19 16:30:10 UTC 2026","passed","Tue May 19 16:30:11 UTC 2026","","test_clients_ownership","",""
"GET /clients/ must return only clients owned by the requesting user.","1075","test_list_clients_only_returns_own","tests","Tue May 19 16:30:11 UTC 2026","passed","Tue May 19 16:30:12 UTC 2026","","test_clients_ownership","",""
"","2","test_finalize_image_requires_authentication","tests","Tue May 19 16:30:13 UTC 2026","passed","Tue May 19 16:30:13 UTC 2026","","test_wave1_security","",""
"","1","test_adapt_sql_for_sqlite_transforms_common_snowflake_syntax","tests","Tue May 19 16:30:12 UTC 2026","passed","Tue May 19 16:30:12 UTC 2026","","test_sqlite_pooling","",""
"","5","test_sqlite_client_uses_distinct_connections_across_threads","tests","Tue May 19 16:30:12 UTC 2026","passed","Tue May 19 16:30:12 UTC 2026","","test_sqlite_pooling","",""
"","1","test_webhook_missing_signature_returns_400","tests","Tue May 19 16:30:12 UTC 2026","passed","Tue May 19 16:30:12 UTC 2026","","test_payment_webhook","",""
"","4","test_enforce_generated_html_spec_injects_multiple_media_items_with_selector_and_scroll","tests","Tue May 19 16:30:12 UTC 2026","passed","Tue May 19 16:30:12 UTC 2026","","test_reference_media_handling","",""
"","9","test_sqlite_client_reuses_connection_per_thread","tests","Tue May 19 16:30:12 UTC 2026","passed","Tue May 19 16:30:12 UTC 2026","","test_sqlite_pooling","",""
"","8","test_create_cart_item_writes_stock_quantity","tests","Tue May 19 16:30:15 UTC 2026","passed","Tue May 19 16:30:15 UTC 2026","","test_wave5_data_api","",""
"","6","test_wave_build_website_rejects_unknown_output_target","tests","Tue May 19 16:30:15 UTC 2026","passed","Tue May 19 16:30:15 UTC 2026","","test_wave_build_website","",""
"","2","test_sqlite_client_transaction_begin_rollback","tests","Tue May 19 16:30:12 UTC 2026","passed","Tue May 19 16:30:12 UTC 2026","","test_sqlite_pooling","",""
