"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_finalize_image_requires_authentication","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_wave1_security","",""
"","6","test_update_website_nothing_to_update","tests","Thu May 21 06:15:55 UTC 2026","passed","Thu May 21 06:15:55 UTC 2026","","test_website_crud","",""
"","3","test_build_status_unknown_website_returns_404","tests","Thu May 21 06:15:56 UTC 2026","passed","Thu May 21 06:15:56 UTC 2026","","test_website_crud","",""
"","4","test_create_website_unknown_theme_returns_400","tests","Thu May 21 06:15:54 UTC 2026","passed","Thu May 21 06:15:54 UTC 2026","","test_website_crud","",""
"","9","test_sqlite_client_recovers_when_pooled_connection_is_closed","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_sqlite_pooling","",""
"","3","test_webhook_invalid_signature_returns_400","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_payment_webhook","",""
"A different app_user cannot read service permissions of another owner's client.","766","test_get_client_services_cross_tenant_returns_404","tests","Thu May 21 06:15:48 UTC 2026","passed","Thu May 21 06:15:49 UTC 2026","","test_clients_ownership","",""
"","1","test_sqlite_client_execute_many_refresh_path","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_sqlite_pooling","",""
"","10","test_update_website_title","tests","Thu May 21 06:15:54 UTC 2026","passed","Thu May 21 06:15:54 UTC 2026","","test_website_crud","",""
"","1","test_auth_service_rejects_default_jwt_secret","tests","Thu May 21 06:15:52 UTC 2026","passed","Thu May 21 06:15:52 UTC 2026","","test_wave1_security","",""
"","266","test_register_creates_user","tests","Thu May 21 06:15:43 UTC 2026","passed","Thu May 21 06:15:44 UTC 2026","","test_auth","",""
"","5","test_wave_staging_area_put_updates_entry_and_manifest","tests","Thu May 21 06:15:54 UTC 2026","passed","Thu May 21 06:15:54 UTC 2026","","test_wave_staging_area_edits","",""
"","4","test_upsert_cart_rejects_invalid_product_id","tests","Thu May 21 06:15:52 UTC 2026","passed","Thu May 21 06:15:52 UTC 2026","","test_wave5_data_api","",""
"","9","test_create_cart_item_writes_stock_quantity","tests","Thu May 21 06:15:52 UTC 2026","passed","Thu May 21 06:15:52 UTC 2026","","test_wave5_data_api","",""
"customer.subscription.deleted should reset user plan to 'free'.","3","test_webhook_subscription_deleted_resets_to_free","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_payment_webhook","",""
"","1","test_startup_validation_requires_openai_key_unless_override","tests","Thu May 21 06:15:52 UTC 2026","passed","Thu May 21 06:15:52 UTC 2026","","test_wave1_security","",""
"","13","test_sqlite_client_reuses_connection_per_thread","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_sqlite_pooling","",""
"","3","test_login_unknown_email_returns_401","tests","Thu May 21 06:15:45 UTC 2026","passed","Thu May 21 06:15:45 UTC 2026","","test_auth","",""
"","5","test_wave_staging_area_get_uses_manifest_entry","tests","Thu May 21 06:15:53 UTC 2026","passed","Thu May 21 06:15:53 UTC 2026","","test_wave_staging_area_edits","",""
"slowapi should attach X-RateLimit-* headers on auth endpoints.","257","test_register_rate_limit_header_present","tests","Thu May 21 06:15:44 UTC 2026","passed","Thu May 21 06:15:44 UTC 2026","","test_auth","",""
"","10","test_output_static_files_are_served","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_staging_artifacts","",""
"","0","test_adapt_sql_for_sqlite_transforms_common_snowflake_syntax","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_sqlite_pooling","",""
"","3","test_dashboard_apifetch_has_abort_timeout_and_toast_message","tests","Thu May 21 06:15:53 UTC 2026","passed","Thu May 21 06:15:53 UTC 2026","","test_wave6_ux_perf","",""
"","0","test_plan_limit_check_uses_cache_after_first_lookup","tests","Thu May 21 06:15:53 UTC 2026","passed","Thu May 21 06:15:53 UTC 2026","","test_wave6_ux_perf","",""
"","6","test_coupon_update_still_works_with_allowlisted_fields","tests","Thu May 21 06:15:52 UTC 2026","passed","Thu May 21 06:15:52 UTC 2026","","test_wave1_security","",""
"","3","test_sqlite_client_transaction_begin_rollback","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_sqlite_pooling","",""
"","257","test_login_wrong_password_returns_401","tests","Thu May 21 06:15:45 UTC 2026","passed","Thu May 21 06:15:45 UTC 2026","","test_auth","",""
"","0","test_snowflake_client_execute_and_execute_many","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_sqlite_pooling","",""
"","2","test_enforce_generated_html_spec_keeps_video_and_audio_in_single_media_section","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_reference_media_handling","",""
"A different app_user cannot update another owner's client.","767","test_patch_client_cross_tenant_returns_404","tests","Thu May 21 06:15:47 UTC 2026","passed","Thu May 21 06:15:47 UTC 2026","","test_clients_ownership","",""
"","2","test_webhook_missing_signature_returns_400","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_payment_webhook","",""
"A different app_user cannot delete another owner's client.","765","test_delete_client_cross_tenant_returns_404","tests","Thu May 21 06:15:47 UTC 2026","passed","Thu May 21 06:15:48 UTC 2026","","test_clients_ownership","",""
"","261","test_login_returns_token","tests","Thu May 21 06:15:45 UTC 2026","passed","Thu May 21 06:15:45 UTC 2026","","test_auth","",""
"","3","test_create_website_unauthenticated_returns_401","tests","Thu May 21 06:15:54 UTC 2026","passed","Thu May 21 06:15:54 UTC 2026","","test_website_crud","",""
"","6","test_delete_website","tests","Thu May 21 06:15:55 UTC 2026","passed","Thu May 21 06:15:55 UTC 2026","","test_website_crud","",""
"","4","test_create_website_returns_id","tests","Thu May 21 06:15:54 UTC 2026","passed","Thu May 21 06:15:54 UTC 2026","","test_website_crud","",""
"","260","test_register_duplicate_email_returns_409","tests","Thu May 21 06:15:44 UTC 2026","passed","Thu May 21 06:15:44 UTC 2026","","test_auth","",""
"","2","test_enforce_generated_html_spec_injects_only_missing_media_types","tests","Thu May 21 06:15:51 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_reference_media_handling","",""
"Supplying an incorrect OTP must be rejected.","257","test_verify_otp_bad_code_returns_400","tests","Thu May 21 06:15:44 UTC 2026","passed","Thu May 21 06:15:44 UTC 2026","","test_auth","",""
"GET /clients/ must return only clients owned by the requesting user.","1031","test_list_clients_only_returns_own","tests","Thu May 21 06:15:50 UTC 2026","passed","Thu May 21 06:15:51 UTC 2026","","test_clients_ownership","",""
