"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_wave5_schema_defaults_and_contracts_present","tests","Wed May 20 23:59:48 UTC 2026","passed","Wed May 20 23:59:48 UTC 2026","","test_wave5_data_api","",""
"","1","test_webhook_invalid_signature_returns_400","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_payment_webhook","",""
"","2","test_create_website_unauthenticated_returns_401","tests","Wed May 20 23:59:49 UTC 2026","passed","Wed May 20 23:59:49 UTC 2026","","test_website_crud","",""
"","5","test_wave_staging_area_put_updates_entry_and_manifest","tests","Wed May 20 23:59:49 UTC 2026","passed","Wed May 20 23:59:49 UTC 2026","","test_wave_staging_area_edits","",""
"","2","test_login_unknown_email_returns_401","tests","Wed May 20 23:59:40 UTC 2026","passed","Wed May 20 23:59:40 UTC 2026","","test_auth","",""
"","2","test_dashboard_apifetch_has_abort_timeout_and_toast_message","tests","Wed May 20 23:59:48 UTC 2026","passed","Wed May 20 23:59:48 UTC 2026","","test_wave6_ux_perf","",""
"","4","test_upsert_cart_rejects_invalid_product_id","tests","Wed May 20 23:59:48 UTC 2026","passed","Wed May 20 23:59:48 UTC 2026","","test_wave5_data_api","",""
"","6","test_wave_build_website_rejects_unknown_output_target","tests","Wed May 20 23:59:48 UTC 2026","passed","Wed May 20 23:59:48 UTC 2026","","test_wave_build_website","",""
"","0","test_adapt_sql_for_sqlite_transforms_common_snowflake_syntax","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_sqlite_pooling","",""
"","0","test_auth_service_rejects_default_jwt_secret","tests","Wed May 20 23:59:47 UTC 2026","passed","Wed May 20 23:59:47 UTC 2026","","test_wave1_security","",""
"","5","test_sqlite_client_uses_distinct_connections_across_threads","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_sqlite_pooling","",""
"A different app_user cannot update another owner's client.","912","test_patch_client_cross_tenant_returns_404","tests","Wed May 20 23:59:41 UTC 2026","passed","Wed May 20 23:59:42 UTC 2026","","test_clients_ownership","",""
"","314","test_register_creates_user","tests","Wed May 20 23:59:37 UTC 2026","passed","Wed May 20 23:59:37 UTC 2026","","test_auth","",""
"","4","test_me_returns_user_info","tests","Wed May 20 23:59:40 UTC 2026","passed","Wed May 20 23:59:40 UTC 2026","","test_auth","",""
"","307","test_register_duplicate_email_returns_409","tests","Wed May 20 23:59:37 UTC 2026","passed","Wed May 20 23:59:38 UTC 2026","","test_auth","",""
"","3","test_enforce_generated_html_spec_injects_only_missing_media_types","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_reference_media_handling","",""
"","0","test_sqlite_client_retry_failure_returns_empty_list","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_sqlite_pooling","",""
"","10","test_update_website_title","tests","Wed May 20 23:59:50 UTC 2026","passed","Wed May 20 23:59:50 UTC 2026","","test_website_crud","",""
"","3","test_sqlite_client_execute_strict_raises_on_error","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_sqlite_pooling","",""
"","3","test_sqlite_client_transaction_begin_rollback","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_sqlite_pooling","",""
"","4","test_finalize_image_forbidden_for_non_owner","tests","Wed May 20 23:59:47 UTC 2026","passed","Wed May 20 23:59:47 UTC 2026","","test_wave1_security","",""
"","2","test_webhook_missing_signature_returns_400","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_payment_webhook","",""
"","4","test_extract_expected_spec_parses_reference_media_urls","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_reference_media_handling","",""
"","305","test_login_wrong_password_returns_401","tests","Wed May 20 23:59:39 UTC 2026","passed","Wed May 20 23:59:40 UTC 2026","","test_auth","",""
"","308","test_login_returns_token","tests","Wed May 20 23:59:39 UTC 2026","passed","Wed May 20 23:59:39 UTC 2026","","test_auth","",""
"","1","test_sqlite_client_execute_many_refresh_path","tests","Wed May 20 23:59:46 UTC 2026","passed","Wed May 20 23:59:46 UTC 2026","","test_sqlite_pooling","",""
