"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","test_login_unknown_email_returns_401","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_auth","",""
"","4","test_build_status_unknown_website_returns_404","tests","Sat May 09 23:20:38 UTC 2026","passed","Sat May 09 23:20:38 UTC 2026","","test_website_crud","",""
"","2","test_me_invalid_token_returns_401","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_auth","",""
"customer.subscription.deleted should reset user plan to 'free'.","3","test_webhook_subscription_deleted_resets_to_free","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_payment_webhook","",""
"","279","test_register_creates_user","tests","Sat May 09 23:20:33 UTC 2026","passed","Sat May 09 23:20:34 UTC 2026","","test_auth","",""
"Supplying an incorrect OTP must be rejected.","272","test_verify_otp_bad_code_returns_400","tests","Sat May 09 23:20:34 UTC 2026","passed","Sat May 09 23:20:34 UTC 2026","","test_auth","",""
"","4","test_create_website_unknown_theme_returns_400","tests","Sat May 09 23:20:37 UTC 2026","passed","Sat May 09 23:20:37 UTC 2026","","test_website_crud","",""
"","275","test_login_returns_token","tests","Sat May 09 23:20:35 UTC 2026","passed","Sat May 09 23:20:35 UTC 2026","","test_auth","",""
"A user cannot delete another user's website.","274","test_delete_website_other_user_returns_404","tests","Sat May 09 23:20:38 UTC 2026","passed","Sat May 09 23:20:38 UTC 2026","","test_website_crud","",""
"","271","test_login_wrong_password_returns_401","tests","Sat May 09 23:20:35 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_auth","",""
"","274","test_register_duplicate_email_returns_409","tests","Sat May 09 23:20:34 UTC 2026","passed","Sat May 09 23:20:34 UTC 2026","","test_auth","",""
"","2","test_create_website_unauthenticated_returns_401","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_website_crud","",""
"","2","test_webhook_invalid_signature_returns_400","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_payment_webhook","",""
"","4","test_me_returns_user_info","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_auth","",""
"slowapi should attach X-RateLimit-* headers on auth endpoints.","272","test_register_rate_limit_header_present","tests","Sat May 09 23:20:34 UTC 2026","passed","Sat May 09 23:20:34 UTC 2026","","test_auth","",""
"","12","test_update_website_title","tests","Sat May 09 23:20:37 UTC 2026","passed","Sat May 09 23:20:37 UTC 2026","","test_website_crud","",""
"","12","test_create_website_returns_id","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_website_crud","",""
"","2","test_webhook_missing_signature_returns_400","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_payment_webhook","",""
"","6","test_delete_website","tests","Sat May 09 23:20:37 UTC 2026","passed","Sat May 09 23:20:37 UTC 2026","","test_website_crud","",""
"With a mocked verify_webhook, subscription.updated should update the user plan.","3","test_webhook_subscription_updated_changes_plan","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_payment_webhook","",""
"","2","test_me_missing_token_returns_401","tests","Sat May 09 23:20:36 UTC 2026","passed","Sat May 09 23:20:36 UTC 2026","","test_auth","",""
"","6","test_update_website_nothing_to_update","tests","Sat May 09 23:20:37 UTC 2026","passed","Sat May 09 23:20:37 UTC 2026","","test_website_crud","",""
