"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A user cannot delete another user's website.","308","test_delete_website_other_user_returns_404","tests","Thu May 21 06:06:50 UTC 2026","passed","Thu May 21 06:06:50 UTC 2026","","test_website_crud","",""
"","4","test_extract_expected_spec_parses_reference_media_urls","tests","Thu May 21 06:06:44 UTC 2026","passed","Thu May 21 06:06:44 UTC 2026","","test_reference_media_handling","",""
"","0","test_plan_limit_check_uses_cache_after_first_lookup","tests","Thu May 21 06:06:46 UTC 2026","passed","Thu May 21 06:06:46 UTC 2026","","test_wave6_ux_perf","",""
"","2","test_webhook_missing_signature_returns_400","tests","Thu May 21 06:06:44 UTC 2026","passed","Thu May 21 06:06:44 UTC 2026","","test_payment_webhook","",""
"","3","test_login_unknown_email_returns_401","tests","Thu May 21 06:06:38 UTC 2026","passed","Thu May 21 06:06:38 UTC 2026","","test_auth","",""
"","2","test_webhook_invalid_signature_returns_400","tests","Thu May 21 06:06:44 UTC 2026","passed","Thu May 21 06:06:44 UTC 2026","","test_payment_webhook","",""
"","4","test_build_status_unknown_website_returns_404","tests","Thu May 21 06:06:50 UTC 2026","passed","Thu May 21 06:06:50 UTC 2026","","test_website_crud","",""
"","1","test_sqlite_client_execute_many_refresh_path","tests","Thu May 21 06:06:44 UTC 2026","passed","Thu May 21 06:06:44 UTC 2026","","test_sqlite_pooling","",""
"With a mocked verify_webhook, subscription.updated should update the user plan.","2","test_webhook_subscription_updated_changes_plan","tests","Thu May 21 06:06:44 UTC 2026","passed","Thu May 21 06:06:44 UTC 2026","","test_payment_webhook","",""
"","10","test_update_website_title","tests","Thu May 21 06:06:49 UTC 2026","passed","Thu May 21 06:06:49 UTC 2026","","test_website_crud","",""
"","2","test_create_website_unauthenticated_returns_401","tests","Thu May 21 06:06:48 UTC 2026","passed","Thu May 21 06:06:48 UTC 2026","","test_website_crud","",""
